scat.rich.m	scat.vol.m	scat.het.m	env.rich.m	env.vol.m	env.het.m	sd.rich.m	sd.vol.m	sd.het.m	rp.rich.m	rp.vol.m	rp.het.m	full.rich.m	full.vol.m	full.het.m	obs.rich	obs.vol	obs.het
83.1	699.10324746	0.4265317294	34	800.98668547	0.4832357558	57.2	566.68555964	0.0448115685	30.1	639.73110286	0.0528912543	20.4	701.25849866	0.3185447873	22	795.409090909091	0.398065280606477
88.7	658.75169759	0.4229246599	29.6	802.44509221	0.4833955882	56.2	576.32134453	0.0615011222	27.4	674.70372778	0.0559399772	16.7	718.98400118	0.3108334877	15	750.933333333333	0.180678062647727
85.9	692.94532924	0.4263977499	28.5	815.52504772	0.5159811532	54	579.36079963	0.0582995658	25.5	696.79634	0.0471121907	13.3	746.91293336	0.2983277073	15	758.6	0.260684927670895
87.5	688.92209208	0.4251592512	34	754.74586474	0.5133712908	51.3	592.35735624	0.0475886721	23.9	709.53041642	0.0453340389	12.3	734.49499085	0.2763111262	20	693.05	0.258109883763681
86.9	683.2226873	0.4239745798	46.2	768.59485848	0.4493963041	49.4	615.11379871	0.0565052362	22.7	714.0120217	0.0450744546	10.8	743.44722363	0.2436934249	22	747.136363636364	0.246293362933877
87	685.24244108	0.4246796553	57.7	714.44379777	0.434424042	44.7	638.73584453	0.0464277905	20.3	768.8685304	0.0463461208	9.7	756.7599026	0.247017085	24	686.958333333333	0.265137169025335
87.3	677.2998963	0.425052005	171.7	466.34214535	0.2873291569	51.4	627.03144163	0.0632924265	49.9	458.08606224	0.0604817705	72.2	378.69487566	0.0858970786	130	609.592307692308	0.297517806707805
91.8	671.95679025	0.4235286307	98.6	747.03361304	0.3012699227	55.2	602.55127355	0.0635596999	51.8	455.51029876	0.0645411762	55.5	482.70632735	0.1092448329	115	715.55652173913	0.310686850949385
87.2	676.21461539	0.4243943677	100.3	729.27955431	0.3145550502	58.8	590.32046222	0.0706499637	51	460.16266145	0.0705251397	54.7	501.42355437	0.130756997	117	722.213675213675	0.313657061098729
86.7	683.18499717	0.4256861969	105.6	681.76710107	0.3125126653	59.7	582.66992453	0.063071144	48.1	466.0174683	0.0627838027	54.4	518.95924381	0.1685619581	121	715.471074380165	0.310733106741997
86.2	684.15279338	0.4239713262	70.4	867.58898831	0.3385595708	60.7	576.84030086	0.0664064015	46.5	491.99980249	0.0617182289	45.2	586.11762822	0.1589957342	114	747.385964912281	0.29137194302538
93.1	667.8613073	0.4235871244	72.5	806.49299696	0.3668001766	62.3	569.79419113	0.0621376207	45.2	496.21057329	0.0591407305	44	595.67074126	0.1993524278	77	808.324675324675	0.310599806218511
91.4	691.16499056	0.4242460151	82.2	764.68686285	0.3967436757	63.9	553.34833129	0.0606053511	43	530.6829232	0.0596266668	43.5	593.5500572	0.2564410433	69	798.101449275362	0.344579604311687
91	675.76795588	0.4245229226	57.6	780.81425721	0.4402850608	64	558.12182309	0.0657250441	40.9	541.18837407	0.0740505254	37.5	636.39161789	0.2746312619	53	768.981132075472	0.365733871567802
91.8	686.850128	0.4234565552	48	797.05577368	0.4660981256	64.4	551.15944402	0.057870653	38.9	559.41415126	0.0620919498	33.2	640.99587949	0.3110309346	36	762.972222222222	0.344628615851039
87	689.0146043	0.4245039	45.2	765.13045762	0.4541459802	64	558.01564208	0.0620107677	36.3	605.69604441	0.0646815245	29.7	653.42887125	0.3314596317	28	743.107142857143	0.348673400445626
89	684.29159149	0.4262787465	31.6	745.95636864	0.4469050033	61.8	557.71871356	0.054947996	34.2	622.69092999	0.0751611893	25	683.34601357	0.3320897852	24	772.25	0.362378821585841
92.3	696.2043533	0.425612441	28	766.36909468	0.4612117291	62.4	546.44348331	0.058777043	30.8	647.14277226	0.0590423177	18.9	709.2534339	0.2925133686	19	745.368421052632	0.369258304396906
87.7	677.52714127	0.4245835282	30.6	779.73768623	0.5008228988	60.1	560.6687132	0.0577282538	28.9	666.63981386	0.0569935081	14.2	777.08764894	0.3112868738	17	718.411764705882	0.235120259153577
88	696.14993966	0.4256318064	23.5	811.7679791	0.4828251086	58	570.73625863	0.0593476751	27.3	688.97945775	0.0572822536	11.9	815.28845881	0.28668226	15	733.6	0.258401400589699
87.9	699.96593194	0.4243680101	22.8	835.34315497	0.4857430573	54.9	588.46526193	0.0513080069	25.6	708.21070982	0.0505674224	10.4	796.76806525	0.2420917448	16	700.75	0.189099656906362
92.8	686.71718269	0.4240350394	30.6	827.63373283	0.504736795	51.5	609.61499419	0.059583091	23.2	724.2336549	0.0466396933	10.5	734.10586774	0.2234465133	19	666.947368421053	0.237514288169539
89.4	696.56020218	0.4256726758	36.5	776.23786937	0.4772720767	47.5	626.99708966	0.0587727634	20.2	774.84629042	0.0460170854	10	738.24805944	0.2168911349	21	726.095238095238	0.267655113101642
88.6	700.29638119	0.424160358	184.1	428.81280885	0.2542030988	49	643.08385444	0.0563437648	55.3	426.05022353	0.0662746329	74.2	374.47867474	0.0754642782	141	511.886524822695	0.25492094513155
91.6	682.92851638	0.4254355305	191.1	471.06124415	0.2850859057	52	624.33847764	0.058758172	57.8	425.35265003	0.0731869186	81.8	367.79808998	0.0870798317	152	541.789473684211	0.291627823853552
85.1	706.88745367	0.427452611	164.7	522.78514389	0.2886025274	56.5	603.88819914	0.058941946	58.5	422.6628386	0.0752989872	78.9	376.99501661	0.0853076371	149	602.852348993289	0.327363946918928
89.4	682.73757976	0.4246213382	107.5	755.17485287	0.3253405285	59.8	592.75133005	0.0709692451	57.5	425.90354353	0.0730051673	53.9	522.39587691	0.1195628559	120	704.191666666667	0.317209695023776
92.1	690.74059785	0.424470818	99.5	763.430944	0.3121172015	64.1	567.07476814	0.073712811	55.6	438.15543567	0.076145159	48.2	558.60906093	0.1172680382	112	731.892857142857	0.298859604070672
92.2	682.91524182	0.4257021188	100.1	719.62029244	0.3211294024	64	572.68895754	0.0766123042	52.6	462.41409329	0.072647147	54.4	530.75093757	0.169920981	113	723.681415929204	0.287783224438229
87.1	701.09911083	0.42572598	72.1	828.31252683	0.3427155024	66.5	559.73789115	0.0768621817	49.4	488.22809238	0.0652423034	49.1	567.3926834	0.1777669243	99	775.020202020202	0.269401218821506
89.5	688.87204339	0.4248395232	65.4	835.63709924	0.3878320603	67.6	555.17638921	0.0733209628	48.8	502.4813339	0.0788256379	45.5	594.71080292	0.2199445532	74	820.972972972973	0.317328927844818
87.2	709.16790947	0.4252261308	74.3	777.09637242	0.4085570208	67.4	550.65431767	0.0711615256	45.8	523.73234949	0.0692142475	45.9	598.61751717	0.2642686637	63	842.269841269841	0.355303914392034
85.7	667.90726511	0.422512443	52.5	805.86597004	0.4604776093	67.6	548.595457	0.0725905798	43.4	543.53410973	0.0842981394	38.8	645.17354669	0.2964347209	47	747.446808510638	0.368665649639814
85.5	696.40440084	0.4253078073	43.6	808.91790331	0.4751591073	67.5	546.39071491	0.0619628794	40.4	553.40628644	0.0616358408	33.7	650.63369269	0.323282872	33	752.121212121212	0.341269344476986
94.2	690.46947373	0.4248758166	43.6	798.10872047	0.4786580435	66.9	550.69549367	0.0704684474	37.7	603.33600055	0.0800872097	30.5	659.58509056	0.3332493199	30	732.8	0.369793734979203
88.7	679.87741189	0.4235343337	32.6	731.40981203	0.4616027025	66.7	544.52966922	0.0705726478	35.1	610.83437943	0.0698005946	25.2	685.68474056	0.3217585772	22	713.5	0.373056136682997
85.5	687.2715304	0.4240373602	28.2	791.47237299	0.4626277751	66.3	546.27009323	0.0704984236	32.7	648.87393964	0.0838140413	17.9	720.1338163	0.2786987087	18	758.444444444444	0.307036569378419
94.4	684.65518039	0.424183266	22.6	819.25203708	0.4556663673	64.5	552.47475264	0.0697436955	30.4	684.9559366	0.0799429684	14	782.03598956	0.2727335466	16	740.8125	0.284922773010948
91.2	698.62574539	0.4252776389	20.7	795.75341884	0.4579234847	60.6	567.14526775	0.059480765	27.4	713.08519678	0.0698602101	11.7	762.43031632	0.2079423823	14	751.142857142857	0.217057322502833
91.3	667.79960035	0.4245077813	20.5	818.32278707	0.439910832	59.1	572.63463484	0.0633284938	26.2	719.8798117	0.0669496373	10.6	804.20347712	0.2102518467	15	714.933333333333	0.176730787648621
89.8	676.89439082	0.4239256654	25.1	810.11336534	0.5002909191	54.3	598.04733556	0.0529387068	24	741.3604429	0.0683905489	10.1	745.11793709	0.217958554	16	693.1875	0.212363705529211
87	686.20450227	0.4265702373	29.9	823.96415172	0.5147818944	50.9	611.68910105	0.0563168654	22.2	761.69734771	0.0656542503	9.1	805.09127507	0.2015824285	19	666.947368421053	0.237393077408771
91.1	684.27845151	0.4251508638	192.8	443.90387867	0.2591360361	49	654.17821814	0.0641800167	59.3	415.94665131	0.0732010574	79.5	358.26402776	0.0738987016	138	467.413043478261	0.211208226150118
82.4	696.28879877	0.4258915414	198.8	471.21242275	0.2867468946	54.6	627.61980957	0.066018021	63.5	399.34046808	0.0676735638	84.3	361.08591644	0.0865282903	156	496.647435897436	0.270032546591403
87.7	695.29839784	0.4261307424	178.6	529.01482532	0.2950008933	58.1	594.24938898	0.0631323357	64.5	394.95326329	0.0664383882	83.3	373.13393504	0.0929042944	158	541.784810126582	0.291198219402252
93	675.30576006	0.4267688073	130.2	656.62625999	0.3120225975	61.5	587.43731663	0.0717116458	64.1	406.13252103	0.0824499598	75.8	410.75247345	0.1011433304	144	629.666666666667	0.331934732107763
81.1	706.99788445	0.4248665182	86.8	798.05994632	0.3190156407	65.3	575.56737419	0.0758502885	61.8	415.21516635	0.0742666666	58.9	505.5875123	0.1117168592	116	732.465517241379	0.305312312892077
87.4	690.42322419	0.4232043432	84	829.20519121	0.3149720696	68	556.2213205	0.0765204352	59.7	434.71286392	0.0902604782	50.9	575.79759931	0.1445981262	105	767.314285714286	0.26711259105465
84.5	708.61331516	0.4243025028	80.6	818.29267783	0.3119203665	69.1	549.84386122	0.0792237224	56.5	461.004269	0.0939976471	51.1	565.84866604	0.1603910058	97	780.082474226804	0.249592318422404
88.8	690.94442797	0.4249994709	90.8	781.72006191	0.3412157287	70.6	549.16316613	0.0745763454	53.5	492.50608336	0.0993519152	48.6	590.70676402	0.1899631696	88	801.704545454545	0.260187831708022
91.8	682.54015032	0.4240270988	73.7	857.16109334	0.3577656946	70.8	557.11600054	0.0876769841	51.8	509.25548922	0.1014549104	45.2	616.33603339	0.1881969696	69	854.144927536232	0.307498571027471
94.1	687.90625319	0.4248033116	78.2	770.14494077	0.3996086977	70.6	552.99042258	0.074798313	48.2	523.44697222	0.0861292847	48.1	595.8588319	0.259536121	59	816.745762711864	0.338604969731326
90.6	675.2259954	0.4232803471	49.3	859.80130022	0.4570723143	71.7	549.36093343	0.0771488751	45.3	544.92640334	0.0916862049	39.3	652.93838468	0.2996242351	44	782.75	0.363633746039785
91	698.86992011	0.4250345492	40.9	824.93525673	0.4770986976	69.2	550.20274881	0.0758879122	42.4	563.51296547	0.0819725292	35.2	660.54927301	0.3320709543	32	712.375	0.350209184202824
88.6	676.93324766	0.4246527329	42.2	728.01292133	0.4647263331	69.8	539.37827217	0.0740011378	38.8	598.06965536	0.0843558152	31.2	665.20867605	0.3379579613	27	748.592592592593	0.365629892874317
89.1	677.5663847	0.4233164739	28.8	801.04244836	0.490054725	70	535.17583931	0.0721872756	36.4	628.97249501	0.0852076535	22.9	704.19495281	0.3323072636	20	733.35	0.356717764631988
87.1	680.31506109	0.4241424655	26.8	779.87371371	0.4340935884	67.8	541.62557574	0.0712937604	33.9	655.64675092	0.0743625219	18.2	707.75417822	0.3073899127	16	759.6875	0.263616187738927
88.2	695.23013182	0.4272978519	23.8	765.83527631	0.4395505378	66.7	544.29564945	0.0687938003	31	694.79952208	0.0828209678	15.3	723.13237785	0.2690639284	12	832	0.24050391921898
88	695.01499604	0.4259088987	17.1	774.98285067	0.3361586834	63.3	558.59840642	0.0657870744	28.6	721.33773196	0.075171826	12.2	743.43021811	0.211483293	13	778.384615384615	0.20714109701075
89.2	687.87564041	0.4265530096	20.2	769.28496909	0.4305612843	61.8	564.23568664	0.0671230482	27	732.1437163	0.0788053062	11.4	729.58869714	0.1980938222	15	793.733333333333	0.27864877990996
94.5	671.82298138	0.4243107348	19.6	780.99906949	0.4319972329	57.3	587.76568493	0.0634778032	25.1	756.23013983	0.0741214652	10.6	746.17216089	0.1636821142	15	793.733333333333	0.285110826206882
84.6	697.67505475	0.4271755155	21.6	748.10955092	0.4454728988	51.5	622.75396433	0.0664195123	23.1	765.26402938	0.0572635982	10.3	740.38363248	0.1861366047	15	738.466666666667	0.220804280015657
86.5	673.80835663	0.4224978691	192.9	493.2134977	0.2838763264	53.1	645.82654355	0.0644320671	67.6	385.69739212	0.0725978042	89	356.19085858	0.0786189386	151	453.543046357616	0.219582961213388
91.7	670.94183912	0.4237672704	150.3	568.0950055	0.2810866053	59	609.48576032	0.0622273086	70.2	378.13983542	0.0781559242	85.1	363.6323485	0.0907898752	171	474.877192982456	0.274387110418877
89	673.56063862	0.4209482029	152.5	580.99398584	0.2933699557	61.2	595.21980712	0.0631142803	72.4	384.87180813	0.0837489396	85.9	372.60569949	0.1053841718	153	571.248366013072	0.308492851155122
91.6	692.89464472	0.4252902754	110.2	704.75174412	0.3013222203	65.8	582.29658888	0.070204571	70.5	400.49724631	0.0840446119	70.3	443.73009238	0.1224891592	130	681.530769230769	0.31202036198203
90.8	682.05597353	0.4242672792	85.2	799.99085256	0.3125508447	70	569.8919652	0.083766053	64.9	421.45252042	0.0881870378	56.3	538.52903462	0.1372420652	111	739.486486486486	0.292400997519782
87.6	687.23027338	0.4243666591	80.5	860.37606613	0.3142259272	70.7	567.44881201	0.0883140155	61.4	447.95114516	0.0928656177	50.7	598.80155544	0.1672165754	100	763.57	0.255917123638482
87.5	679.27058832	0.427324686	83.7	814.48268662	0.3130504561	72.8	556.87883666	0.0879717082	58.8	467.43962312	0.0997320727	51.3	579.60849158	0.1612022805	96	769.010416666667	0.249448855621942
89.6	687.52070879	0.4254809773	73.7	865.68934372	0.3464669214	74.3	547.98078002	0.0859618188	56.8	494.07662324	0.1046082095	48.2	597.28225876	0.1705681704	79	808.848101265823	0.263782433861863
89.5	671.08637441	0.4241597938	70.4	900.2335882	0.355700993	75.5	545.76988983	0.0968657591	54.5	510.23081531	0.1210973139	45.1	630.71550718	0.1913742807	64	856.875	0.323723429421563
86.5	696.64837564	0.4248588948	75.3	813.2213103	0.3886036776	75.9	548.48846534	0.094897905	50.7	519.51875616	0.0982496009	47.6	614.67913559	0.259523326	55	842.345454545455	0.337007759563597
94	681.92991046	0.4248962693	48.2	813.61215253	0.4724727658	74.9	549.02252906	0.0882474924	47.9	543.34286341	0.1083932538	42.6	647.86592117	0.3168828774	43	794.953488372093	0.350374753121908
89.4	695.3807892	0.426207137	42.9	765.76227687	0.4723016066	73.3	551.16852724	0.0805015382	43.7	572.68776285	0.0955959471	36.4	650.47933755	0.3338914522	32	698.25	0.358271199286206
88.3	690.87932511	0.424404701	44.7	707.50210703	0.4614353652	72.5	548.77398138	0.0754439994	40.6	612.49198458	0.1031048962	32.8	641.30419626	0.3402589138	26	778.538461538462	0.370979994151197
90.2	662.1293747	0.4223245915	30	798.81423389	0.5019752842	73.9	543.09900418	0.0860652046	37.8	639.66312211	0.1149260166	23.9	688.55628979	0.3317790185	18	714.166666666667	0.249168938987048
90.9	677.76634667	0.4233422578	26.8	751.52412187	0.4496437362	72.6	535.97553013	0.0846894964	34.9	667.52305206	0.0946803244	18.9	706.51278728	0.2906733935	14	757.571428571429	0.31303926049904
88.4	680.07505211	0.4249500101	23.5	729.80673077	0.4290308069	71.6	538.42081737	0.0884819908	32.7	698.99858614	0.0933690544	15.9	733.44290988	0.2767559179	14	730.285714285714	0.362131101900248
87.4	691.43770235	0.4231548741	20.7	681.32595552	0.3560674226	67.2	548.42293466	0.0723295191	29.6	731.61710517	0.0841500731	13.1	724.01142856	0.2274471093	13	769	0.272095398744095
87.5	690.29869091	0.4243116561	19.6	741.02867597	0.3888742489	62.7	569.42848286	0.076439643	28.1	741.21137091	0.090075766	11.6	735.43677655	0.1909381701	13	784	0.196980283651918
91.7	670.18129511	0.4238179281	20.2	726.21769542	0.3964868106	58.8	586.42557721	0.0745016547	25.9	766.7243099	0.0833118791	11.3	715.048663	0.1981834023	13	784	0.213047039058749
89.8	703.83153996	0.4256518232	20.7	739.06079058	0.4258744679	54.2	613.88227327	0.0581110982	23.4	772.81767112	0.053857455	10.9	729.62444222	0.1713051988	14	756.357142857143	0.196626149667056
84.8	700.89804557	0.4236447751	211	476.1765276	0.2878866389	51.2	646.49053973	0.0563153626	65.5	403.9264261	0.0743237188	94	334.99027574	0.087304271	147	408.619047619048	0.192241644821242
83.8	668.03515699	0.4232932078	158.7	582.45870518	0.2860803118	58	626.0302617	0.0679724196	73.4	367.62289493	0.0713315787	91.5	351.82570975	0.0880381939	168	427.839285714286	0.244588838172439
90.9	688.10575251	0.4246280808	204.4	492.76084397	0.3017601525	62.2	601.87085744	0.0727656065	77	366.76714292	0.0805120452	91.8	355.99748765	0.0996060846	191	471.188481675393	0.291068716062591
87.1	675.99156477	0.4237999715	170.5	563.54945479	0.3023408807	65.2	598.15714077	0.0761082016	76.8	379.19895879	0.0880610583	87.8	378.63593209	0.1159320633	133	635.759398496241	0.327325921845187
90.1	667.3715295	0.4229542836	117.5	685.53434301	0.297180624	69.6	577.88979656	0.0874065688	72.8	401.40383609	0.0963128191	75.3	435.39194727	0.1409838125	119	714.899159663866	0.302283606851927
92.5	674.4478687	0.4248993444	93.3	794.809069	0.3203540488	73	566.70482112	0.093274825	68.5	423.23324667	0.1038311856	58.3	540.47202689	0.155098027	99	772.343434343434	0.253801847197913
90.9	683.11330329	0.4273053911	84.2	830.38453052	0.3161809337	75.2	559.33311288	0.1025792441	65.8	453.60702517	0.1111729234	52.1	601.357572	0.1726633591	98	767.275510204082	0.241882234023722
84.9	674.9547987	0.4253510228	81.3	822.9591444	0.3193966746	77	545.32450998	0.097062131	62.5	485.16810719	0.1228679339	51.5	589.55476757	0.1723257706	93	778.021505376344	0.251548741033623
91.9	672.05225541	0.4231119961	63.8	897.82827375	0.3384075106	78.4	540.46347418	0.1076352792	58.5	512.44790656	0.1206199285	47	636.22699551	0.1930668695	75	826.24	0.265733537606082
92.6	673.94610535	0.42323693	58.7	935.20381508	0.3702367615	81	539.3234044	0.1138234864	55.9	514.93197488	0.140187546	43.5	670.19385029	0.2080731234	67	833.686567164179	0.337795012366341
88.2	684.76976677	0.4268111181	65.7	870.56205721	0.4183724838	79.2	546.69633342	0.1088360959	52.2	532.29254756	0.1287673965	46.5	640.74960901	0.2819189693	55	818.090909090909	0.34239401066743
90.3	661.96576652	0.4250518039	51.3	776.30977704	0.4662709074	79.1	537.65116583	0.10219555	48.7	552.89371531	0.1168600403	42.4	644.7774813	0.332722699	39	817.846153846154	0.3369483080473
95.1	682.10690148	0.4269922005	44.9	697.99320037	0.4478142409	77.5	550.44253276	0.1074669671	44.8	578.99841119	0.1062445413	37.8	641.38804121	0.342335461	31	717.774193548387	0.357779524473366
89.7	684.03350854	0.4245386397	43.7	668.57435152	0.4402750411	75.8	550.98202018	0.0930453767	41.3	618.53116867	0.112680941	33.8	643.71054063	0.3455797238	27	742.333333333333	0.342939140086432
84.3	708.01142365	0.4257368747	28.1	735.53697603	0.4423370862	77.6	536.13964926	0.0899045776	39.1	652.51341403	0.1126030017	25.8	676.69644864	0.3182937925	17	668.823529411765	0.127259379349725
91.2	692.22252047	0.4260661608	25.1	725.26922208	0.4216275234	75.2	541.61750702	0.0942497351	37	672.4763875	0.1127007335	20.8	704.26615249	0.3063920164	14	757.571428571429	0.309945807303051
85.1	690.8310685	0.4242445296	24.2	745.57136088	0.4259919772	74.1	543.44695733	0.1018704145	34.1	709.6047758	0.1158687397	16.9	718.64488796	0.248036963	14	730.285714285714	0.359657423208601
88.5	692.69113027	0.4268166776	19.7	734.31476654	0.4102030654	69.8	550.29441907	0.0831327852	31	734.99766627	0.0983198254	13.7	723.67300657	0.2287800476	11	829	0.0969748444392044
86.1	671.21072484	0.4223673183	18.9	693.73503113	0.3620316571	64.4	566.76717036	0.0907801888	29	754.15374018	0.0942188705	11.7	725.79348485	0.1896358617	12	777.25	0.0940860190178271
89	695.00276654	0.4258451273	19.3	693.45370861	0.3423766156	60.5	587.98281783	0.0863532664	26.7	766.8788743	0.0769666734	11.2	698.95821067	0.1882653368	12	777.25	0.0944506066216374
89.8	684.54423824	0.425238649	17.6	673.28315074	0.4116209606	55.8	618.14854747	0.0727868043	25	781.78460951	0.0917548652	10.4	711.09823232	0.1962661968	13	784	0.201944401589157
88.9	689.91975894	0.4251026629	177.4	478.52450368	0.246223372	49.2	678.55823871	0.0598425469	64.9	410.94649742	0.07918834	85.8	350.42045104	0.0656408513	144	385.034722222222	0.161601241252326
90.5	671.7430822	0.4246069942	147.5	600.60211804	0.2864151152	54.9	642.2509595	0.0671893799	73.5	381.0680174	0.0847661262	92.3	357.51705218	0.0866368159	154	424.603896103896	0.199080628962318
89.8	686.00162539	0.4244558659	108	722.68928964	0.2680096721	60.2	622.76436764	0.0740756806	78.4	367.88892888	0.08087798	57.6	547.92314915	0.1520558718	181	436.022099447514	0.258383612355891
