FID	AI	BIO_1	BIO_12	BIO_15	BIO_4	NPP	PET	Y	X	Dist_km
1157	3948	212	753	110	3055	2.99E+11	1854	-1950	-350	15.82061332
1158	4646	210	829	111	2929	3.868E+11	1857	-1850	-350	111.7622494
1159	5418	206	915	108	2803	5.992E+11	1863	-1750	-350	207.7071627
1160	5680	201	1001	104	2713	7.103E+11	1864	-1650	-350	305.0622416
1161	6261	201	1137	94	2032	6.206E+11	1864	-1550	-350	403.7123693
1162	6538	206	1203	90	1831	4.401E+11	1859	-1450	-350	502.8959962
1163	7072	211	1281	87	1678	4.886E+11	1873	-1350	-350	450.5136789
1164	7371	220	1413	85	1214	7.589E+11	1899	-1250	-350	350.708871
1165	7637	223	1453	83	818	6.068E+11	1902	-1150	-350	250.9040631
1166	7865	228	1458	78	563	6.225E+11	1876	-1050	-350	151.0992552
1167	7897	236	1458	69	392	5.78E+11	1865	-950	-350	51.29444737
1168	8637	246	1547	62	404	6.999E+11	1815	-850	-350	48.51036051
1169	9208	246	1560	59	452	9.465E+11	1750	-750	-350	148.3151684
1170	9059	247	1567	55	354	9.03E+11	1727	-650	-350	248.1199763
1171	10234	249	1619	53	307	8.985E+11	1701	-550	-350	347.9247841
1172	10743	247	1786	45	358	9.097E+11	1675	-450	-350	447.729592
1173	11770	245	1888	39	394	8.979E+11	1653	-350	-350	547.5343999
1174	12062	245	1973	32	417	9.336E+11	1663	-250	-350	647.3392078
1175	12087	248	2057	21	468	9.221E+11	1677	-150	-350	630.6589645
1176	12515	250	2084	18	471	9.692E+11	1697	-50	-350	530.659283
1177	12412	249	2071	20	533	9.862E+11	1682	50	-350	430.6596014
1178	11329	250	2003	25	567	1.008E+12	1679	150	-350	330.6599199
1179	10497	252	1752	37	576	1.037E+12	1689	250	-350	230.6602383
1180	9569	245	1630	40	599	1.034E+12	1699	350	-350	130.6605567
1181	9869	241	1645	44	603	1.041E+12	1716	450	-350	30.66087518
1182	9334	243	1722	48	652	7.252E+11	1755	550	-350	69.33880638
1183	7897	247	1487	61	837	5.764E+11	1842	650	-350	169.3384879
1184	7565	246	1407	67	933	7.115E+11	1880	750	-350	269.3381695
1185	7018	249	1354	76	1107	6.801E+11	1920	850	-350	369.3378511
1186	6061	257	1200	90	1534	6.386E+11	1925	950	-350	469.3375326
1187	5272	270	1084	98	1719	4.828E+11	1997	1050	-350	569.3372142
1188	4396	272	1001	105	1882	4.231E+11	2120	1150	-350	495.909522
1189	4032	270	867	112	2126	3.474E+11	2160	1250	-350	395.9113938
1190	3134	270	670	126	2185	3.402E+11	2212	1350	-350	295.9132656
1191	2560	268	592	135	2261	2.34E+11	2212	1450	-350	195.9151373
1192	2302	266	535	143	2325	1.156E+11	2213	1550	-350	95.91700911
1193	1662	258	351	165	2560	1.035E+11	2140	1650	-350	4.081119112
1194	820	264	241	172	2786	60090000000	2174	1750	-350	104.0792473
1195	583	274	152	172	3029	51340000000	2182	1850	-350	204.0773756
1196	342	267	79	178	3370	38770000000	2172	1950	-350	304.0755038
1197	183	258	57	179	3458	35580000000	2055	2050	-350	404.073632
1198	85	261	24	173	3894	44390000000	2062	2150	-350	504.0717602
1199	23	248	5	108	4779	27150000000	2013	2250	-350	601.3634356
1200	11	248	3	62	5137	31700000000	1984	2350	-350	685.3254981
1201	5	244	2	37	5444	29900000000	1966	2450	-350	773.1132486
1202	5	237	1	16	5918	27280000000	1921	2550	-350	863.5607401
1203	0	232	0	0	6106	22410000000	1885	2650	-350	955.9132851
1204	0	225	0	0	6250	16730000000	1872	2750	-350	1049.668169
1205	2142	156	306	27	4044	46700000000	1359	-3750	-250	1333.546153
1206	2047	162	241	42	4558	80960000000	1531	-3650	-250	1265.779473
1207	1585	153	245	62	5487	69020000000	1486	-3550	-250	1202.518194
1208	1558	175	232	65	5737	72940000000	1659	-3450	-250	1144.509651
1209	1746	187	272	70	5467	1.071E+11	1671	-3350	-250	1092.590808
1210	1798	184	294	74	5332	87100000000	1659	-3250	-250	1045.608739
1211	1735	183	311	77	5457	1.177E+11	1687	-3150	-250	977.7326038
1212	1756	197	302	77	5343	90950000000	1808	-3050	-250	902.0826141
1213	1732	199	321	78	5244	87060000000	1836	-2950	-250	831.5918716
1214	1790	202	316	80	5094	1.015E+11	1827	-2850	-250	767.6829026
1215	2018	203	355	88	4733	1.172E+11	1802	-2750	-250	712.1299299
1216	2032	206	369	90	4578	1.137E+11	1825	-2650	-250	631.2473444
1217	2131	214	403	95	4336	1.347E+11	1851	-2550	-250	534.7563537
1218	2233	218	419	98	4217	1.752E+11	1860	-2450	-250	438.265363
1219	2352	224	423	102	4070	1.803E+11	1882	-2350	-250	341.7743723
1220	2420	222	457	103	3810	2.181E+11	1871	-2250	-250	245.2833816
1221	2951	220	515	106	3654	2.951E+11	1853	-2150	-250	148.7923909
1222	3642	219	604	109	3409	3.004E+11	1852	-2050	-250	52.30140014
1223	4001	223	770	110	2906	3.62E+11	1858	-1950	-250	44.01994777
1224	5030	223	886	110	2726	3.337E+11	1864	-1850	-250	139.9615839
1225	5422	221	1059	107	2634	3.63E+11	1911	-1750	-250	235.90322
1226	5347	216	1056	105	2552	3.566E+11	1948	-1650	-250	331.8448561
1227	6263	195	1140	93	2013	2.896E+11	1907	-1550	-250	427.7864922
1228	6574	199	1230	91	1871	3.865E+11	1864	-1450	-250	523.7281282
1229	7111	209	1316	91	1741	5.64E+11	1899	-1350	-250	456.7587029
1230	6904	230	1331	86	1201	6.214E+11	1953	-1250	-250	356.953895
1231	7175	229	1343	83	919	6.291E+11	1924	-1150	-250	257.1490871
1232	7806	229	1408	79	680	7.13E+11	1849	-1050	-250	157.3442793
1233	8405	232	1470	72	509	7.125E+11	1822	-950	-250	57.5394714
1234	9203	234	1598	60	383	7.081E+11	1760	-850	-250	42.26533648
1235	9722	241	1692	53	346	7.421E+11	1726	-750	-250	142.0701444
1236	9540	249	1650	50	370	9.37E+11	1730	-650	-250	241.8749522
1237	10003	249	1670	48	398	9.348E+11	1729	-550	-250	341.6797601
1238	10307	245	1759	40	468	9.349E+11	1717	-450	-250	438.3040826
1239	10882	243	1800	37	452	9.527E+11	1684	-350	-250	522.4827562
1240	11275	245	1881	32	425	9.411E+11	1693	-250	-250	611.4458212
1241	11444	247	1958	23	458	9.569E+11	1701	-150	-250	630.4065999
1242	12703	245	2072	22	518	9.789E+11	1689	-50	-250	530.4069184
1243	12568	246	2105	22	553	1.023E+12	1679	50	-250	430.4072368
1244	11258	247	1985	25	552	1.029E+12	1668	150	-250	330.4075553
1245	10619	251	1770	33	487	1.007E+12	1676	250	-250	230.4078737
1246	10079	246	1718	37	513	1.038E+12	1700	350	-250	130.4081921
1247	9172	248	1686	41	564	1.035E+12	1770	450	-250	30.40851057
1248	8861	252	1648	49	685	8.932E+11	1814	550	-250	69.59117099
1249	8573	245	1593	64	803	8.198E+11	1841	650	-250	169.5908525
1250	8188	245	1525	72	1039	7.958E+11	1867	750	-250	269.5905341
1251	7010	247	1413	79	1233	7.679E+11	1920	850	-250	369.5902157
1252	5962	242	1184	92	1530	6.721E+11	1946	950	-250	469.5898972
1253	4984	257	1024	100	1777	4.324E+11	2000	1050	-250	569.5895788
1254	3862	262	902	107	2061	4.132E+11	2141	1150	-250	495.2976786
1255	3498	265	795	113	2292	3.196E+11	2190	1250	-250	395.2995504
1256	3024	261	657	126	2194	2.635E+11	2220	1350	-250	295.3014221
1257	2525	260	577	133	2382	1.786E+11	2243	1450	-250	195.3032939
1258	2387	252	539	144	2518	1.405E+11	2190	1550	-250	95.3051657
1259	1723	252	351	164	2683	1.088E+11	2088	1650	-250	4.692962526
1260	932	257	241	172	2912	72110000000	2100	1750	-250	104.6910907
1261	669	260	159	168	3133	49520000000	2098	1850	-250	204.689219
1262	446	245	87	159	3497	34210000000	2089	1950	-250	304.6873472
1263	161	252	53	165	3677	24780000000	2057	2050	-250	381.960414
1264	104	258	25	169	3996	48430000000	2065	2150	-250	462.5222315
1265	46	245	8	131	4779	44930000000	1994	2250	-250	549.5087546
1266	15	245	4	74	5122	23910000000	1981	2350	-250	640.3069015
1267	7	240	2	48	5440	30830000000	1959	2450	-250	733.5025459
1268	4	237	1	14	5928	28680000000	1929	2550	-250	828.2868112
1269	0	235	0	0	6128	24240000000	1902	2650	-250	924.1710331
1270	0	232	0	0	6280	21210000000	1862	2750	-250	1020.845314
1271	2051	163	316	32	4264	61220000000	1273	-3750	-150	1263.859357
1272	1916	165	240	44	4588	85290000000	1501	-3650	-150	1192.137914
1273	1844	158	255	62	5540	79450000000	1519	-3550	-150	1124.742255
1274	1791	174	249	64	5656	68920000000	1617	-3450	-150	1062.495869
1275	2341	173	314	71	5316	1.149E+11	1666	-3350	-150	1006.354711
1276	2780	175	372	73	4946	1.127E+11	1608	-3250	-150	957.2068222
1277	2660	181	411	76	5109	1.178E+11	1618	-3150	-150	910.9800477
1278	2171	193	358	75	5165	99130000000	1742	-3050	-150	837.2504796
1279	1887	198	346	77	5078	1.051E+11	1792	-2950	-150	760.7761588
1280	1986	202	321	78	4938	93800000000	1798	-2850	-150	690.3422063
1281	2063	203	363	85	4622	95160000000	1785	-2750	-150	627.9843628
1282	1994	208	364	88	4506	1.326E+11	1820	-2650	-150	576.3300774
1283	2016	216	384	95	4257	1.256E+11	1833	-2550	-150	508.7779347
1284	2189	218	406	98	4123	1.253E+11	1847	-2450	-150	412.007246
1285	2457	222	434	101	3976	2.08E+11	1860	-2350	-150	315.5162553
1286	2551	222	480	106	3772	2.94E+11	1863	-2250	-150	219.0252645
1287	3048	221	533	108	3661	2.682E+11	1867	-2150	-150	122.5342738
1288	3777	219	614	110	3507	3.639E+11	1858	-2050	-150	26.0432831
1289	4041	225	767	110	2873	4.889E+11	1857	-1950	-150	70.44770762
1290	4841	227	877	108	2656	4.138E+11	1852	-1850	-150	166.9386983
1291	5094	228	973	106	2578	4.707E+11	1899	-1750	-150	263.429689
1292	5134	225	1014	105	2538	7.515E+11	1970	-1650	-150	359.9206798
1293	6208	212	1136	99	2191	7.903E+11	2021	-1550	-150	455.9858266
1294	7212	201	1266	94	2008	7.298E+11	1895	-1450	-150	551.9274627
1295	7845	208	1354	93	1861	7.257E+11	1843	-1350	-150	452.6085136
1296	7430	228	1351	86	1241	6.645E+11	1855	-1250	-150	352.9520271
1297	7428	230	1331	84	963	7.633E+11	1861	-1150	-150	253.2955407
1298	8387	225	1423	80	724	6.106E+11	1777	-1050	-150	153.6390543
1299	8902	229	1497	73	548	6.536E+11	1762	-950	-150	53.98256792
1300	9209	232	1616	62	389	7.426E+11	1740	-850	-150	45.67391849
1301	8659	243	1585	57	358	5.979E+11	1789	-750	-150	145.3304049
1302	9048	251	1612	53	406	9.79E+11	1784	-650	-150	220.8446834
1303	9689	251	1654	48	492	9.607E+11	1754	-550	-150	299.4163255
1304	9995	248	1760	41	488	8.998E+11	1752	-450	-150	387.9792491
1305	10187	246	1745	38	425	9.693E+11	1721	-350	-150	481.0464213
1306	10899	248	1833	34	415	9.655E+11	1712	-250	-150	576.4403015
1307	11121	247	1913	24	476	9.526E+11	1704	-150	-150	630.1542353
1308	11694	247	1983	23	506	9.842E+11	1693	-50	-150	530.1545538
1309	11796	244	2009	24	517	9.95E+11	1661	50	-150	430.1548722
1310	10471	247	1924	28	514	1.033E+12	1661	150	-150	330.1551906
1311	10284	251	1743	35	460	1.034E+12	1688	250	-150	230.1555091
1312	9956	247	1719	37	466	1.053E+12	1717	350	-150	130.1558275
1313	10157	248	1714	39	517	1.056E+12	1736	450	-150	30.15614596
1314	10252	248	1734	42	606	9.099E+11	1747	550	-150	69.8435356
1315	8872	246	1637	63	750	8.637E+11	1822	650	-150	169.8432172
1316	8251	243	1526	74	940	7.181E+11	1853	750	-150	269.8428987
1317	6881	243	1406	81	1144	6.792E+11	1909	850	-150	369.8425803
1318	5528	242	1150	94	1513	5.609E+11	1987	950	-150	469.8422618
1319	4963	245	1011	102	1750	5.33E+11	2003	1050	-150	569.8419434
1320	3590	259	855	109	2056	4.469E+11	2150	1150	-150	494.6858352
1321	3241	264	753	115	2269	3.495E+11	2199	1250	-150	394.6877069
1322	2985	256	662	127	2094	2.248E+11	2205	1350	-150	294.6895787
1323	3055	245	623	133	2327	2.845E+11	2149	1450	-150	194.6914505
1324	2799	243	558	141	2632	1.392E+11	2181	1550	-150	94.69332228
1325	1569	251	331	163	2891	88830000000	2140	1650	-150	5.304805939
1326	844	255	227	169	3118	58600000000	2126	1750	-150	105.3029342
1327	614	259	149	167	3317	49390000000	2132	1850	-150	173.636212
1328	365	242	83	149	3680	41640000000	2088	1950	-150	241.2106773
1329	192	246	54	146	3890	32480000000	2026	2050	-150	325.9074218
1330	148	251	29	150	4165	50010000000	2057	2150	-150	417.4310774
1331	64	242	11	137	4843	33820000000	1996	2250	-150	512.1345147
1332	25	241	6	99	5164	31660000000	1973	2350	-150	608.5349767
1333	14	240	3	58	5461	27360000000	1971	2450	-150	705.9375855
1334	5	235	1	25	5964	32000000000	1933	2550	-150	803.9781908
1335	0	234	0	0	6157	24990000000	1905	2650	-150	902.4488839
1336	0	234	0	0	6333	38660000000	1883	2750	-150	1001.222775
1337	1921	176	307	39	4115	1.129E+11	1344	-3750	-50	1198.472196
1338	2972	167	325	42	4147	1.511E+11	1522	-3650	-50	1122.580927
1339	2276	145	341	57	5530	1.256E+11	1452	-3550	-50	1050.733206
1340	2216	151	348	56	6156	1.047E+11	1528	-3450	-50	983.8153302
1341	2634	177	421	65	5421	1.322E+11	1641	-3350	-50	922.9002855
1342	2560	183	431	70	5332	1.396E+11	1688	-3250	-50	869.2509821
1343	2816	178	466	76	5154	1.294E+11	1665	-3150	-50	822.0598407
1344	2590	184	447	76	4998	1.219E+11	1676	-3050	-50	778.6861734
1345	2512	194	421	75	4829	1.162E+11	1739	-2950	-50	697.148253
1346	2511	196	423	77	4599	1.116E+11	1739	-2850	-50	619.5221422
1347	2201	203	397	81	4408	98620000000	1756	-2750	-50	549.18092
1348	2060	207	374	85	4315	1.088E+11	1792	-2650	-50	489.2766916
1349	2004	213	355	93	4093	1.588E+11	1796	-2550	-50	444.0536894
1350	1963	218	352	97	3973	1.565E+11	1831	-2450	-50	393.9216256
1351	2316	220	391	101	3835	2.26E+11	1844	-2350	-50	294.7898511
1352	2473	221	470	109	3602	2.627E+11	1848	-2250	-50	195.6580766
1353	3093	221	543	110	3536	3.506E+11	1869	-2150	-50	96.63555073
1354	3986	219	649	111	3594	4.046E+11	1870	-2050	-50	0.214833939
1355	4341	214	802	112	3216	3.987E+11	1842	-1950	-50	96.70582466
1356	4852	214	857	111	3022	4.595E+11	1812	-1850	-50	193.1968154
1357	5449	214	912	110	2890	5.252E+11	1813	-1750	-50	289.6878061
1358	5723	212	984	107	2705	7.725E+11	1815	-1650	-50	386.1787968
1359	6573	209	1150	100	2355	7.051E+11	1823	-1550	-50	482.6697875
1360	7592	202	1287	96	2197	7.566E+11	1800	-1450	-50	549.6353933
1361	8219	198	1409	92	1968	6.321E+11	1699	-1350	-50	449.8598856
1362	7354	221	1352	94	1323	6.941E+11	1763	-1250	-50	350.212461
1363	7124	229	1300	91	1043	8.033E+11	1786	-1150	-50	250.8458071
1364	8365	225	1383	84	802	5.733E+11	1715	-1050	-50	152.3104397
1365	8625	226	1439	76	681	6.292E+11	1700	-950	-50	57.30311163
1366	7189	241	1323	67	367	7.006E+11	1731	-850	-50	36.12376333
1367	8003	243	1344	63	332	6.951E+11	1765	-750	-50	79.44835649
1368	8932	245	1490	58	363	5.527E+11	1755	-650	-50	164.8933083
1369	9277	248	1594	53	421	6.626E+11	1742	-550	-50	260.8976138
1370	9385	251	1653	46	468	8.715E+11	1737	-450	-50	358.7554358
1371	10001	249	1692	43	453	9.478E+11	1707	-350	-50	456.6589328
1372	10821	247	1747	39	441	9.578E+11	1687	-250	-50	554.5624297
1373	10875	247	1861	27	484	9.593E+11	1690	-150	-50	586.4896664
1374	11145	248	1876	26	523	9.917E+11	1697	-50	-50	498.5501378
1375	10996	248	1842	26	510	1.011E+12	1665	50	-50	416.0941612
1376	10504	248	1772	30	464	1.018E+12	1661	150	-50	329.902826
1377	10280	248	1697	38	460	1.046E+12	1667	250	-50	229.9031445
1378	9540	251	1644	42	471	1.061E+12	1725	350	-50	129.9034629
1379	9781	246	1689	42	467	1.073E+12	1727	450	-50	29.90378134
1380	9568	246	1710	46	496	8.108E+11	1742	550	-50	70.09590022
1381	8532	248	1606	64	696	8.401E+11	1808	650	-50	170.0955818
1382	8020	247	1507	72	870	6.773E+11	1859	750	-50	270.0952633
1383	6704	247	1393	80	1049	6.447E+11	1941	850	-50	370.0949449
1384	5358	244	1120	97	1409	5.751E+11	2005	950	-50	470.0946265
1385	4576	251	936	106	1633	4.918E+11	2029	1050	-50	570.094308
1386	3373	263	779	114	1865	4.01E+11	2169	1150	-50	494.0739918
1387	3075	268	710	117	2026	3.027E+11	2204	1250	-50	394.0758635
1388	2327	266	535	128	2175	1.389E+11	2251	1350	-50	294.0777353
1389	2348	247	484	137	2329	1.147E+11	2170	1450	-50	194.0796071
1390	2401	215	550	147	2551	2.14E+11	1980	1550	-50	94.08147887
1391	1290	234	273	172	3516	88780000000	2058	1650	-50	5.916649353
1392	781	247	197	177	3681	50630000000	2114	1750	-50	48.88538972
1393	598	255	139	174	3778	41540000000	2133	1850	-50	102.3299753
1394	325	260	66	164	4064	33560000000	2138	1950	-50	196.225586
1395	183	257	46	156	4266	25390000000	2104	2050	-50	294.1726319
1396	129	253	31	149	4499	30360000000	2079	2150	-50	393.1546694
1397	71	242	14	109	5041	29060000000	2034	2250	-50	492.5481203
1398	39	236	10	135	5326	32770000000	1975	2350	-50	592.1458499
1399	22	237	5	85	5584	33260000000	1968	2450	-50	691.8596421
1400	9	233	1	29	6045	24910000000	1955	2550	-50	791.6456411
1401	1	230	1	16	6232	28020000000	1910	2650	-50	891.4796004
1402	0	231	0	0	6376	28820000000	1901	2750	-50	991.3470304
1403	2073	177	347	36	4091	2.349E+11	1370	-3750	50	1138.125976
1404	2778	146	439	42	4038	1.667E+11	1429	-3650	50	1057.914491
1405	2802	141	415	57	5579	1.588E+11	1436	-3550	50	981.3436721
1406	2751	156	389	57	5841	1.129E+11	1533	-3450	50	909.3336768
1407	2759	174	436	63	5313	1.725E+11	1613	-3350	50	843.0540129
1408	2843	173	458	67	5305	1.826E+11	1624	-3250	50	783.9594387
1409	2945	175	480	72	5269	1.923E+11	1658	-3150	50	733.6579235
1410	2923	181	492	76	4900	1.779E+11	1649	-3050	50	687.3911031
1411	2957	188	491	76	4709	2.043E+11	1694	-2950	50	642.8460232
1412	2832	191	490	77	4414	2.111E+11	1690	-2850	50	557.7122982
1413	2341	200	424	81	4352	1.319E+11	1734	-2750	50	478.3670199
1414	2172	202	396	84	4229	1.222E+11	1762	-2650	50	408.1997108
1415	2096	207	367	92	4022	1.375E+11	1765	-2550	50	352.7307783
1416	1997	215	355	96	3925	45340000000	1810	-2450	50	316.7792336
1417	2324	218	391	100	3775	2.522E+11	1834	-2350	50	281.6410383
1418	2464	219	465	107	3492	3.115E+11	1837	-2250	50	182.5092637
1419	3211	220	557	110	3351	2.79E+11	1847	-2150	50	83.37748922
1420	4035	225	671	113	3293	3.835E+11	1890	-2050	50	15.75428531
1421	4429	210	821	114	3304	5.382E+11	1853	-1950	50	114.8860598
1422	4958	208	863	114	3161	4.79E+11	1784	-1850	50	214.0178344
1423	5558	208	912	112	3007	5.394E+11	1778	-1750	50	313.1496089
1424	5911	207	989	109	2784	5.875E+11	1777	-1650	50	412.2813834
1425	6684	205	1164	102	2420	6.545E+11	1779	-1550	50	508.9279046
1426	7140	203	1247	98	2272	7.173E+11	1777	-1450	50	564.5874333
1427	7632	196	1325	94	1994	6.962E+11	1680	-1350	50	468.0104924
1428	6771	219	1197	92	1437	6.734E+11	1743	-1250	50	373.2406999
1429	6608	233	1174	92	1145	7.499E+11	1773	-1150	50	279.8138249
1430	8078	231	1273	86	761	7.315E+11	1707	-1050	50	186.3869499
1431	7968	226	1357	79	643	7.479E+11	1679	-950	50	95.88936368
1432	7228	231	1234	74	457	6.059E+11	1705	-850	50	50.0071119
1433	7296	239	1207	67	350	6.633E+11	1744	-750	50	44.67572102
1434	8149	246	1352	60	336	7.274E+11	1752	-650	50	142.579218
1435	8826	248	1480	55	368	7.794E+11	1742	-550	50	241.2955101
1436	9157	253	1585	48	446	7.01E+11	1737	-450	50	340.760731
1437	9942	253	1647	45	447	8.909E+11	1704	-350	50	440.4681923
1438	10751	250	1733	42	441	9.6E+11	1687	-250	50	514.1197302
1439	10931	249	1846	29	487	9.634E+11	1692	-150	50	513.5398447
1440	10873	249	1828	27	521	9.931E+11	1683	-50	50	455.0979911
1441	10758	250	1792	28	548	1.016E+12	1657	50	50	362.8998382
1442	10558	249	1800	31	486	1.029E+12	1662	150	50	276.1854516
1443	10355	248	1736	39	477	1.058E+12	1677	250	50	202.1398396
1444	9952	245	1700	42	478	1.067E+12	1723	350	50	129.6510983
1445	9558	245	1692	45	501	1.052E+12	1734	450	50	29.65141673
1446	9192	247	1666	49	574	9.336E+11	1754	550	50	70.34826483
1447	8331	251	1543	65	707	6.804E+11	1819	650	50	170.3479464
1448	7868	250	1475	73	846	7.892E+11	1863	750	50	270.3476279
1449	6831	249	1392	80	1008	6.321E+11	1949	850	50	370.3473095
1450	5305	252	1124	96	1359	5.448E+11	2031	950	50	470.3469911
1451	4512	257	938	105	1584	4.812E+11	2078	1050	50	570.3466726
1452	3334	266	784	112	1819	4.186E+11	2171	1150	50	495.7705952
1453	3005	272	689	116	2012	2.458E+11	2205	1250	50	396.2820012
1454	2060	275	458	128	2281	1.372E+11	2261	1350	50	297.136948
1455	1708	266	388	137	2481	1.438E+11	2231	1450	50	198.8499617
1456	1532	257	356	149	2958	83890000000	2178	1550	50	103.8857482
1457	1172	242	241	174	3753	64740000000	2126	1650	50	45.05729316
1458	806	243	193	180	3850	53520000000	2096	1750	50	9.319461984
1459	607	250	143	179	3928	56560000000	2116	1850	50	90.67556362
1460	329	260	68	178	4210	39690000000	2144	1950	50	190.6705892
1461	177	259	46	168	4400	28180000000	2121	2050	50	290.6656148
1462	125	258	30	161	4634	20670000000	2109	2150	50	390.6606404
1463	71	247	14	113	5154	24400000000	2061	2250	50	490.655666
1464	42	238	10	163	5416	27200000000	1981	2350	50	590.6506916
1465	26	236	6	96	5658	31190000000	1977	2450	50	690.6457172
1466	11	227	2	41	6096	31480000000	1932	2550	50	790.6407428
1467	4	225	1	27	6270	26550000000	1909	2650	50	890.6357684
1468	6	219	2	20	6411	28620000000	1872	2750	50	990.630794
1469	3548	142	656	44	3595	2.623E+11	1387	-3650	150	999.0886855
1470	3244	139	531	51	5134	2.508E+11	1395	-3550	150	917.6222177
1471	3397	149	522	56	5101	1.935E+11	1502	-3450	150	840.1683566
1472	3346	159	579	62	5217	1.774E+11	1550	-3350	150	767.9421855
1473	3388	165	549	65	5293	2.226E+11	1590	-3250	150	702.5578505
1474	3846	170	558	66	4956	2.416E+11	1604	-3150	150	646.0958645
1475	4038	164	626	74	4388	2.755E+11	1535	-3050	150	598.510942
1476	2769	178	647	75	4281	2.696E+11	1644	-2950	150	555.8543317
1477	2603	199	523	79	4539	2.384E+11	1692	-2850	150	508.2109114
1478	2389	205	433	82	4489	1.93E+11	1720	-2750	150	419.6073505
1479	2587	194	443	87	4048	2.093E+11	1686	-2650	150	337.4349222
1480	2423	199	411	93	4026	1.943E+11	1692	-2550	150	267.6832547
1481	2010	207	382	97	3881	2.252E+11	1760	-2450	150	222.0938682
1482	2433	211	393	100	3682	2.708E+11	1808	-2350	150	191.1929188
1483	2818	213	555	110	3446	3.589E+11	1812	-2250	150	170.0828436
1484	3513	232	606	116	3347	3.863E+11	1821	-2150	150	70.27353101
1485	4738	217	740	115	3286	3.638E+11	1788	-2050	150	28.90309816
1486	4648	202	827	120	3398	4.542E+11	1753	-1950	150	128.0348727
1487	4923	210	830	119	3312	4.626E+11	1785	-1850	150	227.1666472
1488	5605	206	929	115	2970	5.347E+11	1756	-1750	150	326.2984217
1489	6115	206	992	111	2652	6.818E+11	1752	-1650	150	425.4301963
1490	7044	200	1179	105	2393	7.172E+11	1711	-1550	150	524.5619708
1491	7517	195	1274	103	2467	6.925E+11	1725	-1450	150	567.4770479
1492	7559	194	1274	99	2366	6.341E+11	1680	-1350	150	476.2648436
1493	6942	211	1050	92	2017	7.087E+11	1648	-1250	150	389.3920936
1494	6786	211	1039	88	1590	6.542E+11	1628	-1150	150	310.5224692
1495	5450	236	956	83	1232	6.485E+11	1838	-1050	150	236.4562611
1496	5955	248	974	73	1005	7.472E+11	1789	-950	150	154.6594786
1497	6145	241	1044	73	581	7.398E+11	1737	-850	150	54.95378027
1498	6537	245	1064	71	457	7.904E+11	1754	-750	150	44.75191808
1499	7025	248	1186	66	393	7.447E+11	1774	-650	150	144.4576164
1500	7969	252	1320	60	371	7.54E+11	1776	-550	150	244.1633148
1501	9056	246	1643	50	335	1.004E+12	1750	-450	150	343.8690131
1502	11117	246	1855	46	326	1E+12	1674	-350	150	415.9126728
1503	11838	243	2073	42	327	9.932E+11	1664	-250	150	414.1214116
1504	11388	243	1900	28	416	9.906E+11	1671	-150	150	413.5415261
1505	11021	244	1857	26	467	1.003E+12	1672	-50	150	412.9616406
1506	11156	243	1870	27	510	1.004E+12	1667	50	150	332.0515536
1507	11132	245	1898	31	542	1.021E+12	1678	150	150	234.1801557
1508	10974	242	1937	37	522	1.053E+12	1698	250	150	139.3644732
1509	10683	241	1889	41	549	1.073E+12	1705	350	150	63.281652
1510	9626	244	1769	46	651	1.055E+12	1750	450	150	29.39905212
1511	9064	247	1651	51	812	7.23E+11	1765	550	150	70.60062944
1512	7910	252	1447	68	851	8.15E+11	1824	650	150	170.600311
1513	7564	254	1398	75	935	7.32E+11	1859	750	150	270.5999926
1514	6722	258	1339	80	1074	6.238E+11	1943	850	150	370.5996741
1515	5122	265	1065	95	1442	5.286E+11	2062	950	150	470.5993557
1516	4330	269	890	104	1646	3.769E+11	2111	1050	150	570.5990372
1517	3200	273	747	111	1833	3.143E+11	2145	1150	150	514.5307069
1518	2740	275	622	116	2031	2.44E+11	2163	1250	150	419.5149457
1519	1937	275	413	130	2527	1.228E+11	2178	1350	150	327.4808866
1520	1488	273	350	139	2740	1.113E+11	2201	1450	150	241.8567189
1521	1337	270	303	150	3044	84450000000	2193	1550	150	172.4691679
1522	1090	259	225	174	3572	58880000000	2154	1650	150	108.3170636
1523	802	247	190	178	3725	50020000000	2100	1750	150	8.322037957
1524	628	250	144	182	3905	44990000000	2102	1850	150	91.67298765
1525	343	261	71	183	4336	42340000000	2137	1950	150	191.6680132
1526	193	259	50	178	4587	35430000000	2135	2050	150	291.6630389
1527	145	257	34	178	4843	30270000000	2126	2150	150	391.6580645
1528	75	249	16	133	5362	28640000000	2091	2250	150	491.6530901
1529	36	245	10	172	5605	24530000000	2036	2350	150	591.6481157
1530	28	240	6	108	5814	27600000000	2010	2450	150	691.6431413
1531	12	232	3	45	6187	26040000000	1968	2550	150	791.6381669
1532	33	223	3	36	6337	31560000000	1858	2650	150	891.6331925
1533	8	212	4	41	6470	23940000000	1844	2750	150	991.6282181
1534	4183	152	775	50	3093	3.546E+11	1265	-3650	250	947.1923423
1535	4988	130	633	51	4817	4.043E+11	1328	-3550	250	860.8284766
1536	4886	146	667	55	4878	2.519E+11	1433	-3450	250	777.7390302
1537	4305	151	651	62	4812	2.739E+11	1460	-3350	250	699.0925061
1538	3934	160	593	63	4926	2.437E+11	1514	-3250	250	626.5641747
1539	4140	163	600	65	4854	2.752E+11	1536	-3150	250	562.5255531
1540	4530	161	653	73	4407	3.131E+11	1514	-3050	250	510.1090248
